Wheel Speed,RPM,Gear,Angle,Throttle,Braking,Clutch,Temp,X,Y
2.565497,0.733102,1,0,1,0,0.1,52.34415,-1597.356,3003.377
2.54095,0.7520941,1,0,1,0,0.1,52.42068,-1597.375,3003.421
2.504134,0.7350624,1,0,0,0,0.1,52.48925,-1597.391,3003.46
2.476537,0.7225354,1,0,0,0,0.1,52.53963,-1597.403,3003.488
2.463463,0.706838,1,0,0,0,0.1,52.60272,-1597.418,3003.523
2.444041,0.6910285,1,0,0,0,0.1,52.66621,-1597.432,3003.558
2.420026,0.6749057,1,0,0,0,0.1,52.7309,-1597.447,3003.594
2.396142,0.6590118,1,0,0,0,0.1,52.79462,-1597.462,3003.628
2.371679,0.6430509,1,0,0,0,0.1,52.85855,-1597.476,3003.662
2.345957,0.6269435,1,0,0,0,0.1,52.92302,-1597.49,3003.696
2.320299,0.6110097,1,0,0,0,0.1,52.98673,-1597.504,3003.73
2.294894,0.5950813,1,0,0,0,0.1,53.05037,-1597.518,3003.763
2.269964,0.579212,1,0,0,0,0.1,53.11372,-1597.532,3003.796
2.245309,0.5633347,1,0,0,0,0.1,53.17705,-1597.545,3003.828
2.220905,0.547219,1,0,0,0,0.1,53.24127,-1597.559,3003.86
2.196645,0.5313779,1,0,0,0,0.1,53.30435,-1597.572,3003.892
2.172047,0.515155,1,0,0,0,0.1,53.36889,-1597.585,3003.924
2.148038,0.4991561,1,0,0,0,0.1,53.43248,-1597.598,3003.955
2.123953,0.4832996,1,0,0,0,0.1,53.49545,-1597.611,3003.985
2.099274,0.4672613,1,0,0,0,0.1,53.55909,-1597.623,3004.016
2.074653,0.4511406,1,0,0,0,0.1,53.623,-1597.636,3004.046
2.049901,0.4353819,1,0,0,0,0.1,53.68542,-1597.647,3004.075
2.025584,0.451377,1,0,1,0,0.1319264,53.74873,-1597.66,3004.105
2.016019,0.4674548,1,0,1,0,0.1640178,53.81225,-1597.672,3004.136
2.051399,0.4834822,1,0,1,0,0.1960086,53.87544,-1597.684,3004.167
2.095863,0.4994157,1,0,1,0,0.227812,53.93812,-1597.697,3004.2
2.152045,0.5154108,1,0,1,0,0.2597384,54.00088,-1597.71,3004.233
2.221271,0.5314852,1,0,1,0,0.291823,54.06378,-1597.724,3004.268
2.306667,0.547452,1,0,1,0,0.3236928,54.12606,-1597.738,3004.304
